Date,Daily Max 8-Hour CO Concentration,Air Quality Index,Green Color,Yellow Color
01/01/2017,0.4,5,#87D169,#EBB65A
01/02/2017,0.5,6,#87D169,#EBB65A
01/03/2017,0.4,5,#87D169,#EBB65A
01/04/2017,0.6,7,#87D169,#EBB65A
01/05/2017,1.1,13,#87D169,#EBB65A
01/06/2017,1.1,13,#87D169,#EBB65A
01/07/2017,0.9,10,#87D169,#EBB65A
01/08/2017,0.8,9,#87D169,#EBB65A
01/09/2017,0.7,8,#87D169,#EBB65A
01/10/2017,0.5,6,#87D169,#EBB65A
01/11/2017,0.6,7,#87D169,#EBB65A
01/12/2017,0.7,8,#87D169,#EBB65A
01/13/2017,0.5,6,#87D169,#EBB65A
01/14/2017,1,11,#87D169,#EBB65A
01/15/2017,1.5,17,#87D169,#EBB65A
01/16/2017,1.5,17,#87D169,#EBB65A
01/17/2017,0.9,10,#87D169,#EBB65A
01/19/2017,0.5,6,#87D169,#EBB65A
01/20/2017,0.6,7,#87D169,#EBB65A
01/21/2017,0.9,10,#87D169,#EBB65A
01/22/2017,0.5,6,#87D169,#EBB65A
01/23/2017,0.8,9,#87D169,#EBB65A
01/24/2017,1,11,#87D169,#EBB65A
01/25/2017,1.1,13,#87D169,#EBB65A
01/26/2017,0.8,9,#87D169,#EBB65A
01/27/2017,0.8,9,#87D169,#EBB65A
01/28/2017,0.7,8,#87D169,#EBB65A
01/29/2017,0.6,7,#87D169,#EBB65A
01/30/2017,0.5,6,#87D169,#EBB65A
01/31/2017,0.4,5,#87D169,#EBB65A
02/02/2017,0.5,6,#87D169,#EBB65A
02/03/2017,0.7,8,#87D169,#EBB65A
02/04/2017,0.5,6,#87D169,#EBB65A
02/05/2017,0.4,5,#87D169,#EBB65A
02/06/2017,0.5,6,#87D169,#EBB65A
02/07/2017,0.4,5,#87D169,#EBB65A
02/08/2017,0.5,6,#87D169,#EBB65A
02/09/2017,0.5,6,#87D169,#EBB65A
02/10/2017,0.4,5,#87D169,#EBB65A
02/11/2017,0.6,7,#87D169,#EBB65A
02/17/2017,0.5,6,#87D169,#EBB65A
02/18/2017,0.6,7,#87D169,#EBB65A
02/19/2017,0.5,6,#87D169,#EBB65A
02/20/2017,0.6,7,#87D169,#EBB65A
02/21/2017,0.5,6,#87D169,#EBB65A
02/22/2017,0.5,6,#87D169,#EBB65A
02/23/2017,0.8,9,#87D169,#EBB65A
02/24/2017,0.7,8,#87D169,#EBB65A
02/25/2017,0.6,7,#87D169,#EBB65A
02/26/2017,0.5,6,#87D169,#EBB65A
02/27/2017,0.6,7,#87D169,#EBB65A
02/28/2017,0.5,6,#87D169,#EBB65A
03/01/2017,0.5,6,#87D169,#EBB65A
03/02/2017,0.5,6,#87D169,#EBB65A
03/03/2017,0.5,6,#87D169,#EBB65A
03/04/2017,0.4,5,#87D169,#EBB65A
03/05/2017,0.4,5,#87D169,#EBB65A
03/06/2017,0.5,6,#87D169,#EBB65A
03/07/2017,0.4,5,#87D169,#EBB65A
03/08/2017,0.5,6,#87D169,#EBB65A
03/09/2017,0.6,7,#87D169,#EBB65A
03/10/2017,0.7,8,#87D169,#EBB65A
03/11/2017,0.7,8,#87D169,#EBB65A
03/12/2017,0.5,6,#87D169,#EBB65A
03/13/2017,0.7,8,#87D169,#EBB65A
03/14/2017,0.5,6,#87D169,#EBB65A
03/15/2017,0.5,6,#87D169,#EBB65A
03/16/2017,0.7,8,#87D169,#EBB65A
03/17/2017,0.7,8,#87D169,#EBB65A
03/18/2017,0.5,6,#87D169,#EBB65A
03/19/2017,0.5,6,#87D169,#EBB65A
03/20/2017,0.7,8,#87D169,#EBB65A
03/21/2017,0.8,9,#87D169,#EBB65A
03/22/2017,0.4,5,#87D169,#EBB65A
03/23/2017,0.6,7,#87D169,#EBB65A
03/24/2017,0.5,6,#87D169,#EBB65A
03/25/2017,0.5,6,#87D169,#EBB65A
03/26/2017,0.5,6,#87D169,#EBB65A
03/27/2017,0.4,5,#87D169,#EBB65A
03/28/2017,0.4,5,#87D169,#EBB65A
03/29/2017,0.5,6,#87D169,#EBB65A
03/30/2017,0.5,6,#87D169,#EBB65A
03/31/2017,0.7,8,#87D169,#EBB65A
04/01/2017,0.6,7,#87D169,#EBB65A
04/02/2017,0.3,3,#87D169,#EBB65A
04/03/2017,0.5,6,#87D169,#EBB65A
04/04/2017,0.8,9,#87D169,#EBB65A
04/05/2017,0.6,7,#87D169,#EBB65A
04/06/2017,0.5,6,#87D169,#EBB65A
04/07/2017,0.3,3,#87D169,#EBB65A
04/08/2017,0.4,5,#87D169,#EBB65A
04/09/2017,0.6,7,#87D169,#EBB65A
04/10/2017,0.5,6,#87D169,#EBB65A
04/11/2017,0.5,6,#87D169,#EBB65A
04/14/2017,0.4,5,#87D169,#EBB65A
04/15/2017,0.5,6,#87D169,#EBB65A
04/16/2017,0.7,8,#87D169,#EBB65A
04/17/2017,0.6,7,#87D169,#EBB65A
04/18/2017,0.4,5,#87D169,#EBB65A
04/19/2017,0.6,7,#87D169,#EBB65A
04/20/2017,0.5,6,#87D169,#EBB65A
04/21/2017,0.6,7,#87D169,#EBB65A
04/22/2017,0.5,6,#87D169,#EBB65A
04/23/2017,0.4,5,#87D169,#EBB65A
04/24/2017,0.4,5,#87D169,#EBB65A
04/25/2017,0.5,6,#87D169,#EBB65A
04/26/2017,0.4,5,#87D169,#EBB65A
04/27/2017,0.5,6,#87D169,#EBB65A
04/28/2017,0.6,7,#87D169,#EBB65A
04/29/2017,0.5,6,#87D169,#EBB65A
04/30/2017,0.4,5,#87D169,#EBB65A
05/01/2017,0.6,7,#87D169,#EBB65A
05/02/2017,0.7,8,#87D169,#EBB65A
05/03/2017,0.6,7,#87D169,#EBB65A
05/04/2017,0.6,7,#87D169,#EBB65A
05/05/2017,0.4,5,#87D169,#EBB65A
05/06/2017,0.5,6,#87D169,#EBB65A
05/07/2017,0.5,6,#87D169,#EBB65A
05/08/2017,0.6,7,#87D169,#EBB65A
05/09/2017,0.5,6,#87D169,#EBB65A
05/10/2017,0.6,7,#87D169,#EBB65A
05/11/2017,0.4,5,#87D169,#EBB65A
05/12/2017,0.5,6,#87D169,#EBB65A
05/13/2017,0.4,5,#87D169,#EBB65A
05/14/2017,0.4,5,#87D169,#EBB65A
05/15/2017,0.6,7,#87D169,#EBB65A
05/16/2017,0.6,7,#87D169,#EBB65A
05/17/2017,0.6,7,#87D169,#EBB65A
05/18/2017,0.7,8,#87D169,#EBB65A
05/19/2017,0.6,7,#87D169,#EBB65A
05/20/2017,0.5,6,#87D169,#EBB65A
05/21/2017,0.5,6,#87D169,#EBB65A
05/22/2017,0.6,7,#87D169,#EBB65A
05/23/2017,0.7,8,#87D169,#EBB65A
05/24/2017,0.4,5,#87D169,#EBB65A
05/25/2017,0.6,7,#87D169,#EBB65A
05/26/2017,0.6,7,#87D169,#EBB65A
05/27/2017,0.6,7,#87D169,#EBB65A
05/28/2017,0.6,7,#87D169,#EBB65A
05/29/2017,0.6,7,#87D169,#EBB65A
05/30/2017,0.6,7,#87D169,#EBB65A
06/01/2017,0.5,6,#87D169,#EBB65A
06/02/2017,0.5,6,#87D169,#EBB65A
06/03/2017,0.4,5,#87D169,#EBB65A
06/04/2017,0.5,6,#87D169,#EBB65A
06/05/2017,0.5,6,#87D169,#EBB65A
06/06/2017,0.6,7,#87D169,#EBB65A
06/07/2017,0.6,7,#87D169,#EBB65A
06/08/2017,0.4,5,#87D169,#EBB65A
06/09/2017,0.4,5,#87D169,#EBB65A
06/10/2017,0.4,5,#87D169,#EBB65A
06/11/2017,0.4,5,#87D169,#EBB65A
06/12/2017,0.4,5,#87D169,#EBB65A
06/13/2017,0.5,6,#87D169,#EBB65A
06/14/2017,0.5,6,#87D169,#EBB65A
06/15/2017,0.5,6,#87D169,#EBB65A
06/16/2017,0.5,6,#87D169,#EBB65A
06/17/2017,0.5,6,#87D169,#EBB65A
06/18/2017,0.4,5,#87D169,#EBB65A
06/19/2017,0.6,7,#87D169,#EBB65A
06/20/2017,0.5,6,#87D169,#EBB65A
06/22/2017,0.5,6,#87D169,#EBB65A
06/23/2017,0.5,6,#87D169,#EBB65A
06/24/2017,0.6,7,#87D169,#EBB65A
06/25/2017,0.6,7,#87D169,#EBB65A
06/26/2017,0.5,6,#87D169,#EBB65A
06/27/2017,0.6,7,#87D169,#EBB65A
06/28/2017,0.5,6,#87D169,#EBB65A
06/29/2017,0.6,7,#87D169,#EBB65A
06/30/2017,0.6,7,#87D169,#EBB65A
07/01/2017,0.7,8,#87D169,#EBB65A
07/02/2017,0.6,7,#87D169,#EBB65A
07/03/2017,0.5,6,#87D169,#EBB65A
07/04/2017,0.5,6,#87D169,#EBB65A
07/05/2017,0.6,7,#87D169,#EBB65A
07/06/2017,0.6,7,#87D169,#EBB65A
07/07/2017,0.5,6,#87D169,#EBB65A
07/08/2017,0.5,6,#87D169,#EBB65A
07/09/2017,0.5,6,#87D169,#EBB65A
07/10/2017,0.5,6,#87D169,#EBB65A
07/11/2017,0.5,6,#87D169,#EBB65A
07/12/2017,0.6,7,#87D169,#EBB65A
07/13/2017,0.5,6,#87D169,#EBB65A
07/14/2017,0.5,6,#87D169,#EBB65A
07/15/2017,0.4,5,#87D169,#EBB65A
07/16/2017,0.4,5,#87D169,#EBB65A
07/17/2017,0.5,6,#87D169,#EBB65A
07/18/2017,0.6,7,#87D169,#EBB65A
07/19/2017,0.5,6,#87D169,#EBB65A
07/20/2017,0.4,5,#87D169,#EBB65A
07/21/2017,0.6,7,#87D169,#EBB65A
07/22/2017,0.4,5,#87D169,#EBB65A
07/23/2017,0.5,6,#87D169,#EBB65A
07/24/2017,0.5,6,#87D169,#EBB65A
07/25/2017,0.6,7,#87D169,#EBB65A
07/27/2017,0.5,6,#87D169,#EBB65A
07/28/2017,0.5,6,#87D169,#EBB65A
07/29/2017,0.5,6,#87D169,#EBB65A
07/30/2017,0.4,5,#87D169,#EBB65A
07/31/2017,0.5,6,#87D169,#EBB65A
08/01/2017,0.6,7,#87D169,#EBB65A
08/02/2017,0.7,8,#87D169,#EBB65A
