Date,Daily Max 8-hour CO Concentration
01/01/2017,0.4
01/02/2017,0.5
01/03/2017,0.4
01/04/2017,0.6
01/05/2017,1.1
01/06/2017,1.1
01/07/2017,0.9
01/08/2017,0.8
01/09/2017,0.7
01/10/2017,0.5
01/11/2017,0.6
01/12/2017,0.7
01/13/2017,0.5
01/14/2017,1
01/15/2017,1.5
01/16/2017,1.5
01/17/2017,0.9
01/19/2017,0.5
01/20/2017,0.6
01/21/2017,0.9
01/22/2017,0.5
01/23/2017,0.8
01/24/2017,1
01/25/2017,1.1
01/26/2017,0.8
01/27/2017,0.8
01/28/2017,0.7
01/29/2017,0.6
01/30/2017,0.5
01/31/2017,0.4
02/02/2017,0.5
02/03/2017,0.7
02/04/2017,0.5
02/05/2017,0.4
02/06/2017,0.5
02/07/2017,0.4
02/08/2017,0.5
02/09/2017,0.5
02/10/2017,0.4
02/11/2017,0.6
02/17/2017,0.5
02/18/2017,0.6
02/19/2017,0.5
02/20/2017,0.6
02/21/2017,0.5
02/22/2017,0.5
02/23/2017,0.8
02/24/2017,0.7
02/25/2017,0.6
02/26/2017,0.5
02/27/2017,0.6
02/28/2017,0.5
03/01/2017,0.5
03/02/2017,0.5
03/03/2017,0.5
03/04/2017,0.4
03/05/2017,0.4
03/06/2017,0.5
03/07/2017,0.4
03/08/2017,0.5
03/09/2017,0.6
03/10/2017,0.7
03/11/2017,0.7
03/12/2017,0.5
03/13/2017,0.7
03/14/2017,0.5
03/15/2017,0.5
03/16/2017,0.7
03/17/2017,0.7
03/18/2017,0.5
03/19/2017,0.5
03/20/2017,0.7
03/21/2017,0.8
03/22/2017,0.4
03/23/2017,0.6
03/24/2017,0.5
03/25/2017,0.5
03/26/2017,0.5
03/27/2017,0.4
03/28/2017,0.4
03/29/2017,0.5
03/30/2017,0.5
03/31/2017,0.7
04/01/2017,0.6
04/02/2017,0.3
04/03/2017,0.5
04/04/2017,0.8
04/05/2017,0.6
04/06/2017,0.5
04/07/2017,0.3
04/08/2017,0.4
04/09/2017,0.6
04/10/2017,0.5
04/11/2017,0.5
04/14/2017,0.4
04/15/2017,0.5
04/16/2017,0.7
04/17/2017,0.6
04/18/2017,0.4
04/19/2017,0.6
04/20/2017,0.5
04/21/2017,0.6
04/22/2017,0.5
04/23/2017,0.4
04/24/2017,0.4
04/25/2017,0.5
04/26/2017,0.4
04/27/2017,0.5
04/28/2017,0.6
04/29/2017,0.5
04/30/2017,0.4
05/01/2017,0.6
05/02/2017,0.7
05/03/2017,0.6
05/04/2017,0.6
05/05/2017,0.4
05/06/2017,0.5
05/07/2017,0.5
05/08/2017,0.6
05/09/2017,0.5
05/10/2017,0.6
05/11/2017,0.4
05/12/2017,0.5
05/13/2017,0.4
05/14/2017,0.4
05/15/2017,0.6
05/16/2017,0.6
05/17/2017,0.6
05/18/2017,0.7
05/19/2017,0.6
05/20/2017,0.5
05/21/2017,0.5
05/22/2017,0.6
05/23/2017,0.7
05/24/2017,0.4
05/25/2017,0.6
05/26/2017,0.6
05/27/2017,0.6
05/28/2017,0.6
05/29/2017,0.6
05/30/2017,0.6
06/01/2017,0.5
06/02/2017,0.5
06/03/2017,0.4
06/04/2017,0.5
06/05/2017,0.5
06/06/2017,0.6
06/07/2017,0.6
06/08/2017,0.4
06/09/2017,0.4
06/10/2017,0.4
06/11/2017,0.4
06/12/2017,0.4
06/13/2017,0.5
06/14/2017,0.5
06/15/2017,0.5
06/16/2017,0.5
06/17/2017,0.5
06/18/2017,0.4
06/19/2017,0.6
06/20/2017,0.5
06/22/2017,0.5
06/23/2017,0.5
06/24/2017,0.6
06/25/2017,0.6
06/26/2017,0.5
06/27/2017,0.6
06/28/2017,0.5
06/29/2017,0.6
06/30/2017,0.6
07/01/2017,0.7
07/02/2017,0.6
07/03/2017,0.5
07/04/2017,0.5
07/05/2017,0.6
07/06/2017,0.6
07/07/2017,0.5
07/08/2017,0.5
07/09/2017,0.5
07/10/2017,0.5
07/11/2017,0.5
07/12/2017,0.6
07/13/2017,0.5
07/14/2017,0.5
07/15/2017,0.4
07/16/2017,0.4
07/17/2017,0.5
07/18/2017,0.6
07/19/2017,0.5
07/20/2017,0.4
07/21/2017,0.6
07/22/2017,0.4
07/23/2017,0.5
07/24/2017,0.5
07/25/2017,0.6
07/27/2017,0.5
07/28/2017,0.5
07/29/2017,0.5
07/30/2017,0.4
07/31/2017,0.5
08/01/2017,0.6
08/02/2017,0.7
08/03/2017,1.1
08/04/2017,1.1
08/05/2017,0.6
08/10/2017,1
08/15/2017,0.5
08/16/2017,0.5
08/17/2017,0.6
08/18/2017,0.6
08/19/2017,0.5
08/20/2017,0.5
08/21/2017,0.5
08/22/2017,0.7
08/23/2017,0.5
08/24/2017,0.5
08/25/2017,0.5
08/26/2017,0.5
08/27/2017,0.6
08/28/2017,0.8
08/29/2017,0.8
08/30/2017,0.5
08/31/2017,0.5
09/01/2017,0.6
09/02/2017,0.6
09/03/2017,0.6
09/04/2017,0.6
09/05/2017,1
09/06/2017,0.9
09/07/2017,0.8
09/08/2017,0.8
09/09/2017,0.6
09/10/2017,0.5
09/11/2017,0.7
09/12/2017,0.5
09/19/2017,0.5
09/26/2017,0.6
09/27/2017,0.8
09/28/2017,0.8
09/29/2017,0.5
09/30/2017,0.6
10/01/2017,0.6
10/02/2017,0.6
10/03/2017,0.5
10/04/2017,0.7
