Date,DAILY_OBS_COUNT
01/01/2017,18
01/02/2017,24
01/03/2017,24
01/04/2017,18
01/05/2017,24
01/06/2017,24
01/07/2017,24
01/08/2017,24
01/09/2017,24
01/10/2017,24
01/11/2017,18
01/12/2017,24
01/13/2017,24
01/14/2017,24
01/15/2017,24
01/16/2017,24
01/17/2017,24
01/19/2017,24
01/20/2017,24
01/21/2017,24
01/22/2017,24
01/23/2017,24
01/24/2017,24
01/25/2017,18
01/26/2017,24
01/27/2017,24
01/28/2017,24
01/29/2017,24
01/30/2017,24
01/31/2017,24
02/02/2017,24
02/03/2017,24
02/04/2017,24
02/05/2017,24
02/06/2017,24
02/07/2017,24
02/08/2017,18
02/09/2017,24
02/10/2017,24
02/11/2017,24
02/17/2017,24
02/18/2017,24
02/19/2017,24
02/20/2017,24
02/21/2017,24
02/22/2017,18
02/23/2017,24
02/24/2017,24
02/25/2017,24
02/26/2017,24
02/27/2017,24
02/28/2017,24
03/01/2017,18
03/02/2017,24
03/03/2017,24
03/04/2017,24
03/05/2017,24
03/06/2017,24
03/07/2017,24
03/08/2017,18
03/09/2017,24
03/10/2017,24
03/11/2017,24
03/12/2017,24
03/13/2017,24
03/14/2017,24
03/15/2017,18
03/16/2017,24
03/17/2017,24
03/18/2017,24
03/19/2017,24
03/20/2017,24
03/21/2017,24
03/22/2017,18
03/23/2017,24
03/24/2017,24
03/25/2017,24
03/26/2017,24
03/27/2017,24
03/28/2017,18
03/29/2017,18
03/30/2017,24
03/31/2017,24
04/01/2017,24
04/02/2017,24
04/03/2017,24
04/04/2017,24
04/05/2017,18
04/06/2017,24
04/07/2017,24
04/08/2017,24
04/09/2017,24
04/10/2017,24
04/11/2017,23
04/14/2017,24
04/15/2017,24
04/16/2017,24
04/17/2017,24
04/18/2017,24
04/19/2017,18
04/20/2017,24
04/21/2017,24
04/22/2017,24
04/23/2017,24
04/24/2017,24
04/25/2017,24
04/26/2017,18
04/27/2017,24
04/28/2017,24
04/29/2017,24
04/30/2017,24
05/01/2017,24
05/02/2017,24
05/03/2017,18
05/04/2017,24
05/05/2017,24
05/06/2017,18
05/07/2017,24
05/08/2017,24
05/09/2017,24
05/10/2017,18
05/11/2017,24
05/12/2017,24
05/13/2017,24
05/14/2017,24
05/15/2017,24
05/16/2017,24
05/17/2017,18
05/18/2017,24
05/19/2017,24
05/20/2017,24
05/21/2017,24
05/22/2017,24
05/23/2017,24
05/24/2017,18
05/25/2017,24
05/26/2017,24
05/27/2017,24
05/28/2017,24
05/29/2017,24
05/30/2017,24
06/01/2017,24
06/02/2017,24
06/03/2017,24
06/04/2017,24
06/05/2017,24
06/06/2017,24
06/07/2017,18
06/08/2017,24
06/09/2017,24
06/10/2017,24
06/11/2017,24
06/12/2017,24
06/13/2017,24
06/14/2017,18
06/15/2017,24
06/16/2017,24
06/17/2017,24
06/18/2017,24
06/19/2017,24
06/20/2017,24
06/22/2017,24
06/23/2017,24
06/24/2017,24
06/25/2017,24
06/26/2017,24
06/27/2017,24
06/28/2017,18
06/29/2017,24
06/30/2017,24
07/01/2017,24
07/02/2017,24
07/03/2017,24
07/04/2017,24
07/05/2017,18
07/06/2017,24
07/07/2017,24
07/08/2017,24
07/09/2017,24
07/10/2017,24
07/11/2017,18
07/12/2017,18
07/13/2017,24
07/14/2017,24
07/15/2017,24
07/16/2017,24
07/17/2017,24
07/18/2017,24
07/19/2017,18
07/20/2017,24
07/21/2017,24
07/22/2017,24
07/23/2017,24
07/24/2017,24
07/25/2017,24
07/27/2017,24
07/28/2017,24
07/29/2017,24
07/30/2017,24
07/31/2017,24
08/01/2017,24
08/02/2017,18
08/03/2017,24
08/04/2017,24
08/05/2017,24
08/10/2017,24
08/15/2017,24
08/16/2017,18
08/17/2017,24
08/18/2017,24
08/19/2017,24
08/20/2017,24
08/21/2017,24
08/22/2017,24
08/23/2017,18
08/24/2017,24
08/25/2017,24
08/26/2017,24
08/27/2017,24
08/28/2017,24
08/29/2017,18
08/30/2017,24
08/31/2017,24
09/01/2017,24
09/02/2017,24
09/03/2017,24
09/04/2017,24
09/05/2017,24
09/06/2017,24
09/07/2017,24
09/08/2017,24
09/09/2017,24
09/10/2017,24
09/11/2017,24
09/12/2017,24
09/19/2017,24
09/26/2017,24
09/27/2017,18
09/28/2017,18
09/29/2017,24
09/30/2017,24
10/01/2017,24
10/02/2017,24
10/03/2017,24
10/04/2017,18
10/05/2017,24
10/06/2017,24
10/07/2017,24
10/08/2017,24
10/10/2017,24
10/11/2017,18
10/12/2017,24
10/13/2017,24
10/14/2017,24
10/15/2017,24
10/16/2017,24
10/17/2017,24
10/18/2017,18
10/19/2017,24
10/20/2017,24
10/21/2017,24
10/22/2017,24
10/23/2017,24
10/24/2017,24
11/03/2017,24
11/04/2017,24
11/05/2017,24
11/06/2017,24
11/07/2017,24
11/08/2017,18
11/09/2017,24
11/10/2017,24
11/11/2017,24
11/12/2017,24
11/13/2017,24
11/14/2017,24
11/16/2017,24
11/17/2017,24
11/18/2017,24
11/19/2017,24
11/20/2017,24
11/21/2017,24
11/29/2017,18
12/01/2017,24
12/02/2017,24
12/03/2017,24
12/04/2017,24
12/05/2017,24
